,open,close,high,low,volume,time,HA_Close,HA_Open,HA_High,HA_Low
136,29887.2,29754.8,29894.0,29735.1,3369.78,2023-07-21 04:00:00,29817.774999999998,29825.265149946397,29894.0,29735.1
137,29754.8,29767.1,29837.8,29712.4,3460.93,2023-07-21 08:00:00,29768.025,29796.6450749732,29837.8,29712.4
138,29767.1,29851.4,29898.1,29767.1,6215.59,2023-07-21 12:00:00,29820.924999999996,29808.785037486596,29898.1,29767.1
139,29851.4,29862.7,30048.2,29763.3,6641.48,2023-07-21 16:00:00,29881.4,29845.0925187433,30048.2,29763.3
140,29862.7,29888.1,29943.3,29820.0,2679.92,2023-07-21 20:00:00,29878.525,29861.80875937165,29943.3,29820.0
141,29888.2,29889.8,29989.0,29880.4,2637.01,2023-07-22 00:00:00,29911.850000000002,29886.829379685827,29989.0,29880.4
142,29889.8,29931.7,29978.6,29832.7,2191.29,2023-07-22 04:00:00,29908.199999999997,29897.514689842912,29978.6,29832.7
143,29931.8,29874.0,29965.7,29853.1,2641.32,2023-07-22 08:00:00,29906.15,29901.83234492146,29965.7,29853.1
144,29874.0,29887.3,29894.9,29814.0,2252.9,2023-07-22 12:00:00,29867.55,29884.691172460727,29894.9,29814.0
145,29887.3,29822.2,29897.3,29785.7,1626.9,2023-07-22 16:00:00,29848.125,29866.408086230364,29897.3,29785.7
146,29822.2,29779.0,29829.7,29610.0,3752.96,2023-07-22 20:00:00,29760.225,29813.31654311518,29829.7,29610.0
147,29779.0,29831.8,29883.6,29716.7,2461.45,2023-07-23 00:00:00,29802.775,29808.04577155759,29883.6,29716.7
148,29831.8,29900.0,29970.3,29831.8,2999.99,2023-07-23 04:00:00,29883.475,29845.760385778794,29970.3,29831.8
149,29900.0,29881.7,29950.0,29874.5,2059.5,2023-07-23 08:00:00,29901.55,29873.655192889397,29950.0,29873.655192889397
150,29881.7,29888.4,29922.8,29841.0,1727.94,2023-07-23 12:00:00,29883.475,29878.565096444698,29922.8,29841.0
151,29888.4,30085.8,30346.8,29888.4,10575.14,2023-07-23 16:00:00,30052.350000000002,29965.45754822235,30346.8,29888.4
152,30085.8,30075.5,30138.6,29913.0,2454.43,2023-07-23 20:00:00,30053.225,30009.341274111175,30138.6,29913.0
153,30075.5,29706.3,30091.0,29660.0,6815.34,2023-07-24 00:00:00,29883.2,29946.27063705559,30091.0,29660.0
154,29706.3,29814.1,29860.0,29647.8,5927.85,2023-07-24 04:00:00,29757.050000000003,29851.660318527796,29860.0,29647.8
155,29816.8,29253.8,29820.6,28941.2,32805.16,2023-07-24 08:00:00,29458.1,29654.8801592639,29820.6,28941.2
156,29253.8,29079.5,29254.2,28845.8,17966.4,2023-07-24 12:00:00,29108.325,29381.60257963195,29381.60257963195,28845.8
157,29079.5,29099.1,29142.5,28980.7,6687.85,2023-07-24 16:00:00,29075.449999999997,29228.526289815974,29228.526289815974,28980.7
158,29099.1,29153.8,29187.8,29065.5,2389.41,2023-07-24 20:00:00,29126.55,29177.538144907987,29187.8,29065.5
159,29153.8,29091.2,29168.0,29029.0,4341.07,2023-07-25 00:00:00,29110.5,29144.019072453993,29168.0,29029.0
160,29091.3,29121.6,29144.0,29053.0,2902.33,2023-07-25 04:00:00,29102.475,29123.247036226996,29144.0,29053.0
161,29121.6,29111.8,29265.0,29101.8,4509.17,2023-07-25 08:00:00,29150.05,29136.6485181135,29265.0,29101.8
162,29111.9,29163.0,29322.5,29065.7,9613.47,2023-07-25 12:00:00,29165.775,29151.21175905675,29322.5,29065.7
163,29163.0,29186.8,29349.7,29162.9,4354.02,2023-07-25 16:00:00,29215.600000000002,29183.405879528378,29349.7,29162.9
164,29186.8,29213.2,29240.3,29166.8,1889.17,2023-07-25 20:00:00,29201.774999999998,29192.590439764186,29240.3,29166.8
165,29213.2,29230.0,29397.4,29083.9,7520.29,2023-07-26 00:00:00,29231.125,29211.857719882093,29397.4,29083.9
166,29230.0,29202.2,29311.0,29175.5,4409.62,2023-07-26 04:00:00,29229.675,29220.766359941044,29311.0,29175.5
167,29202.2,29160.0,29225.7,29144.1,3077.67,2023-07-26 08:00:00,29183.0,29201.883179970522,29225.7,29144.1
168,29160.0,29310.2,29342.9,29149.1,7165.76,2023-07-26 12:00:00,29240.55,29221.216589985263,29342.9,29149.1
169,29310.2,29390.2,29483.7,29185.0,14880.28,2023-07-26 16:00:00,29342.274999999998,29281.745794992632,29483.7,29185.0
170,29390.2,29341.3,29669.0,29273.7,13689.69,2023-07-26 20:00:00,29418.55,29350.147897496317,29669.0,29273.7
171,29341.3,29397.5,29440.8,29292.1,2375.89,2023-07-27 00:00:00,29367.925,29359.036448748157,29440.8,29292.1
172,29397.5,29403.6,29488.4,29373.2,2631.51,2023-07-27 04:00:00,29415.675000000003,29387.35572437408,29488.4,29373.2
173,29403.6,29499.7,29561.0,29386.9,3704.38,2023-07-27 08:00:00,29462.8,29425.07786218704,29561.0,29386.9
174,29499.7,29284.4,29501.4,29227.9,7171.19,2023-07-27 12:00:00,29378.35,29401.71393109352,29501.4,29227.9
175,29284.4,29150.9,29325.5,29071.2,8263.0,2023-07-27 16:00:00,29208.0,29304.856965546758,29325.5,29071.2
176,29150.9,29210.3,29224.5,29117.7,2758.48,2023-07-27 20:00:00,29175.850000000002,29240.353482773382,29240.353482773382,29117.7
177,29210.3,29241.0,29297.8,29175.0,4372.41,2023-07-28 00:00:00,29231.025,29235.68924138669,29297.8,29175.0
178,29240.9,29127.0,29254.1,29125.5,3936.33,2023-07-28 04:00:00,29186.875,29211.282120693344,29254.1,29125.5
179,29127.0,29194.4,29235.6,29114.4,4486.99,2023-07-28 08:00:00,29167.85,29189.56606034667,29235.6,29114.4
180,29194.4,29379.8,29533.9,29193.0,12301.71,2023-07-28 12:00:00,29325.275,29257.42053017334,29533.9,29193.0
181,29382.3,29309.2,29396.8,29191.0,6389.23,2023-07-28 16:00:00,29319.825,29288.62276508667,29396.8,29191.0
182,29309.2,29302.6,29359.0,29270.9,1559.89,2023-07-28 20:00:00,29310.425000000003,29299.523882543337,29359.0,29270.9
183,29302.7,29361.9,29381.2,29284.7,2077.44,2023-07-29 00:00:00,29332.625,29316.074441271667,29381.2,29284.7
184,29361.9,29287.1,29400.0,29281.2,4000.83,2023-07-29 04:00:00,29332.550000000003,29324.312220635835,29400.0,29281.2
185,29287.1,29260.0,29323.0,29245.7,5744.96,2023-07-29 08:00:00,29278.95,29301.631110317918,29323.0,29245.7
186,29260.0,29287.8,29328.2,29250.7,5948.88,2023-07-29 12:00:00,29281.675,29291.65305515896,29328.2,29250.7
187,29287.8,29328.0,29336.5,29279.6,3211.5,2023-07-29 16:00:00,29307.975,29299.81402757948,29336.5,29279.6
188,29327.9,29341.5,29370.5,29327.9,2898.11,2023-07-29 20:00:00,29341.95,29320.882013789742,29370.5,29320.882013789742
189,29341.5,29304.8,29345.1,29296.2,2853.9,2023-07-30 00:00:00,29321.9,29321.39100689487,29345.1,29296.2
190,29304.8,29286.0,29321.8,29259.0,3772.22,2023-07-30 04:00:00,29292.9,29307.145503447435,29321.8,29259.0
191,29286.0,29300.2,29315.0,29223.7,5403.02,2023-07-30 08:00:00,29281.225,29294.185251723717,29315.0,29223.7
192,29300.2,29338.8,29438.2,29264.3,11455.01,2023-07-30 12:00:00,29335.375,29314.780125861857,29438.2,29264.3
193,29338.7,29192.6,29399.5,29103.9,10160.02,2023-07-30 16:00:00,29258.675000000003,29286.72756293093,29399.5,29103.9
194,29192.6,29273.9,29278.0,29017.3,12676.21,2023-07-30 20:00:00,29190.449999999997,29238.588781465463,29278.0,29017.3
195,29273.9,29414.6,29525.0,29251.9,11620.87,2023-07-31 00:00:00,29366.35,29302.46939073273,29525.0,29251.9
196,29414.6,29370.7,29438.4,29355.0,2976.52,2023-07-31 04:00:00,29394.675,29348.572195366367,29438.4,29348.572195366367
197,29370.7,29398.0,29410.0,29321.8,4927.07,2023-07-31 08:00:00,29375.125,29361.848597683183,29410.0,29321.8
198,29398.0,29234.2,29466.5,29212.8,10490.11,2023-07-31 12:00:00,29327.875,29344.861798841594,29466.5,29212.8
199,29234.2,29147.5,29264.8,29100.7,9104.3,2023-07-31 16:00:00,29186.8,29265.8308994208,29265.8308994208,29100.7
200,29147.5,29220.9,29278.5,29106.9,6473.85,2023-07-31 20:00:00,29188.449999999997,29227.140449710398,29278.5,29106.9
201,29220.8,28825.9,29332.5,28696.0,24865.65,2023-08-01 00:00:00,29018.800000000003,29122.9702248552,29332.5,28696.0
202,28825.9,28918.3,28955.0,28792.9,10836.55,2023-08-01 04:00:00,28873.025,28997.9976124276,28997.9976124276,28792.9
203,28918.3,28850.8,28980.0,28850.5,6733.79,2023-08-01 08:00:00,28899.9,28948.9488062138,28980.0,28850.5
204,28850.8,28937.9,28965.0,28564.8,22889.96,2023-08-01 12:00:00,28829.625,28889.2869031069,28965.0,28564.8
205,28937.9,29260.6,29325.3,28844.1,18810.47,2023-08-01 16:00:00,29091.975,28990.63095155345,29325.3,28844.1
206,29260.6,29700.6,29732.5,29169.0,19080.3,2023-08-01 20:00:00,29465.675000000003,29228.152975776728,29732.5,29169.0
207,29700.6,29627.5,30034.0,29613.7,24153.18,2023-08-02 00:00:00,29743.95,29486.051487888362,30034.0,29486.051487888362
208,29627.5,29576.4,29718.9,29558.5,6878.74,2023-08-02 04:00:00,29620.324999999997,29553.18824394418,29718.9,29553.18824394418
209,29576.4,29555.4,29577.7,29383.4,13811.54,2023-08-02 08:00:00,29523.225,29538.206621972087,29577.7,29383.4
210,29555.4,29316.2,29600.5,29159.6,21923.19,2023-08-02 12:00:00,29407.925,29473.065810986045,29600.5,29159.6
211,29316.2,29139.4,29357.6,28910.6,25949.91,2023-08-02 16:00:00,29180.949999999997,29327.00790549302,29357.6,28910.6
212,29139.4,29165.2,29220.0,29047.5,4894.21,2023-08-02 20:00:00,29143.024999999998,29235.01645274651,29235.01645274651,29047.5
213,29165.2,29166.2,29268.4,29112.6,6249.24,2023-08-03 00:00:00,29178.100000000002,29206.558226373258,29268.4,29112.6
214,29166.2,29030.7,29177.5,29006.0,6279.33,2023-08-03 04:00:00,29095.1,29150.829113186628,29177.5,29006.0
215,29030.7,29129.9,29180.9,28949.8,8409.77,2023-08-03 08:00:00,29072.825000000004,29111.827056593316,29180.9,28949.8
216,29129.9,29243.8,29414.6,29062.9,17732.13,2023-08-03 12:00:00,29212.8,29162.313528296658,29414.6,29062.9
217,29243.8,29271.5,29362.1,29125.3,10250.72,2023-08-03 16:00:00,29250.675,29206.49426414833,29362.1,29125.3
218,29271.5,29180.9,29354.0,29150.3,6119.57,2023-08-03 20:00:00,29239.175000000003,29222.834632074166,29354.0,29150.3
219,29180.9,29152.9,29241.8,29087.6,5605.5,2023-08-04 00:00:00,29165.799999999996,29194.31731603708,29241.8,29087.6
220,29152.9,29200.0,29242.8,29122.3,4250.99,2023-08-04 04:00:00,29179.5,29186.90865801854,29242.8,29122.3
221,29200.0,29154.6,29248.1,29125.9,4740.09,2023-08-04 08:00:00,29182.15,29184.52932900927,29248.1,29125.9
222,29154.6,29256.1,29317.8,29113.4,11426.83,2023-08-04 12:00:00,29210.475,29197.502164504636,29317.8,29113.4
223,29256.1,29017.2,29271.9,28930.8,11831.68,2023-08-04 16:00:00,29119.0,29158.251082252318,29271.9,28930.8
224,29017.2,29099.4,29111.2,28788.8,10696.41,2023-08-04 20:00:00,29004.15,29081.20054112616,29111.2,28788.8
225,29099.4,29080.9,29140.0,29049.0,3742.27,2023-08-05 00:00:00,29092.324999999997,29086.76277056308,29140.0,29049.0
226,29081.0,29039.4,29083.6,29020.0,2318.41,2023-08-05 04:00:00,29056.0,29071.38138528154,29083.6,29020.0
227,29039.4,29035.7,29078.1,29029.7,2622.95,2023-08-05 08:00:00,29045.725,29058.55319264077,29078.1,29029.7
